Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
caja negra,binder,Corpse Augur,DRC,Aetherdrift Commander,40,normal,uncommon,1,103161,8d1d7df2-acf8-4e10-81cc-bdb23ffd4c7f,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.037Z
caja negra,binder,Susurian Voidborn,EOE,Edge of Eternities,118,normal,uncommon,1,107765,beb97e7b-0ae7-4b08-9ceb-6a7f825bcd49,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.038Z
caja negra,binder,Lotleth Giant,CMM,Commander Masters,171,normal,common,1,84020,09237f1b-eff6-45bf-bd7d-a883deda122a,0.69,false,false,near_mint,es,USD,2026-09-02T19:27:22.039Z
caja negra,binder,Leech Collector // Bloodletting,SOS,Secrets of Strixhaven,88,normal,uncommon,1,112684,c715fe4c-c0e7-4342-811f-b74687851097,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.040Z
caja negra,binder,Swampsnare Trap,TLA,Avatar: The Last Airbender,120,normal,common,1,109709,6348b6bf-08a7-45f0-8b2d-2827ab89f21c,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.041Z
caja negra,binder,Darkness Descends,ECL,Lorwyn Eclipsed,97,normal,uncommon,1,110839,c8aa3895-df83-4f8e-9e23-1a665614b662,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.042Z
caja negra,binder,Murder,M19,Core Set 2019,110,normal,uncommon,1,1202,45368bf3-d5e9-43e6-a67d-93c2e93acc72,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.043Z
caja negra,binder,Moment of Craving,FDN,Foundations,524,normal,common,1,97174,3627f9fb-b828-49cd-887d-e2ab3ef43dfb,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.044Z
caja negra,binder,Settle the Score,DOM,Dominaria,103,normal,uncommon,1,2173,1b18558f-6b40-4d1d-859a-3ba68950f064,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.045Z
caja negra,binder,Festerleech,MKM,Murders at Karlov Manor,85,normal,uncommon,1,91017,83a6fa37-8351-403b-ae05-b67e9bf74bbb,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.046Z
caja negra,binder,Zombie Infestation,DMR,Dominaria Remastered,111,normal,uncommon,1,78183,ef2c8aca-3ade-46b0-8366-ab3b244eca01,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.047Z
caja negra,binder,Avengers: Under Siege,MSH,Marvel Super Heroes,205,normal,rare,1,113638,3c379a3f-bde1-4dc1-9843-afcb5f40792f,0.49,false,false,near_mint,es,USD,2026-09-02T19:27:22.048Z
caja negra,binder,Body Launderer,SNC,Streets of New Capenna,68,normal,mythic,1,67652,24d7d77a-35b6-451a-af44-ecaf38facccb,2.29,false,false,near_mint,es,USD,2026-09-02T19:27:22.049Z
caja negra,binder,Butcher of Malakir,LCC,The Lost Caverns of Ixalan Commander,187,normal,rare,1,88739,9d805499-0739-403e-8447-ed2707dc9eb2,0.69,false,false,near_mint,es,USD,2026-09-02T19:27:22.050Z
caja negra,binder,Give In to Violence,DSK,Duskmourn: House of Horror,101,normal,common,1,98763,00ac1759-d4cc-41d5-a9b7-a89b80d2190c,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.051Z
caja negra,binder,Send in the Pest,SOS,Secrets of Strixhaven,100,normal,common,1,112576,283b508b-89f0-4c23-9686-b049e402b73c,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.052Z
caja negra,binder,Sanguine Bond,LTC,Tales of Middle-earth Commander,208,normal,rare,1,83122,61248b5d-3f4b-4329-a1af-7252443883a0,7.99,false,false,near_mint,es,USD,2026-09-02T19:27:22.053Z
caja negra,binder,"Syr Konrad, the Grim",DSC,Duskmourn: House of Horror Commander,158,normal,uncommon,1,99128,443a4eac-f972-4027-aed4-552d4edc2ce1,1.79,false,false,near_mint,es,USD,2026-09-02T19:27:22.054Z
caja negra,binder,Spiteful Visions,DSC,Duskmourn: House of Horror Commander,233,normal,rare,1,99111,3be610eb-790f-4f47-a92a-34fe704cc8e0,0.79,false,false,near_mint,es,USD,2026-09-02T19:27:22.055Z
caja negra,binder,Lessons from Life,TMT,Teenage Mutant Ninja Turtles,155,normal,uncommon,1,111182,0f886117-aff3-4db7-9cf5-7cbe94c8cd02,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.056Z
caja negra,binder,Indulgent Aristocrat,INR,Innistrad Remastered,118,normal,uncommon,1,102407,07015524-874f-4856-a5c1-3148bd126886,0.39,false,false,near_mint,es,USD,2026-09-02T19:27:22.057Z
caja negra,binder,Bloodbond Vampire,E02,Explorers of Ixalan,15,normal,uncommon,1,3360,6c2b7878-d66a-437a-967d-d6070e425c2c,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.058Z
caja negra,binder,Thirst for Identity,ECL,Lorwyn Eclipsed,79,normal,uncommon,1,110834,c3949f8c-d1c5-45c2-80ed-a57f4f9af86e,0.49,false,false,near_mint,es,USD,2026-09-02T19:27:22.059Z
caja negra,binder,Ruinous Waterbending,TLA,Avatar: The Last Airbender,118,normal,uncommon,1,109702,53161747-c82b-41e8-90ea-7791ea262a85,0.35,false,false,near_mint,es,USD,2026-09-02T19:27:22.060Z
